crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,103040646,10312010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
LARCENY-FROM VEHICLE,103041424,10312010,COURTLAND ST NE / HARRIS ST NE,509,Downtown,M,33.76094,-84.38418
LARCENY-FROM VEHICLE,103042095,10312010,829 BECKWITH ST SW,101,Atlanta University Center,T,33.75233,-84.41473
LARCENY-FROM VEHICLE,103031540,10302010,ARMSTRONG ST SE / PRATT ST SE,510,Downtown,M,33.75187,-84.38083
ROBBERY-RESIDENCE,103030387,10302010,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863
LARCENY-NON VEHICLE,103028048,10292010,7700 SPINE ROAD,50,,,33.64068,-84.44204
LARCENY-NON VEHICLE,103021066,10292010,1306 PARK,305,Chosewood Park,Y,33.71902,-84.37026
LARCENY-FROM VEHICLE,103021573,10292010,MARTIN L KING JR DR SW / FORSYTH ST SW,511,Downtown,M,33.75286,-84.3935
LARCENY-NON VEHICLE,103022422,10292010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
ROBBERY-PEDESTRIAN,103011302,10282010,LATTA ST NE / PINE ST NE,603,Old Fourth Ward,M,33.76791,-84.37258
LARCENY-FROM VEHICLE,103012132,10282010,625 PIEDMONT AVE NE,505,Midtown,E,33.77178,-84.38174
BURGLARY-NONRES,103010133,10282010,210 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.7482,-84.35118
BURGLARY-RESIDENCE,103001397,10272010,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153
ROBBERY-PEDESTRIAN,103002266,10272010,101 DOGWOOD DR NW,112,Collier Heights,I,33.78257,-84.49293
AUTO THEFT,103000516,10272010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
BURGLARY-RESIDENCE,103001056,10272010,1105 LAKESIDE VILLAGE DRIVE SE,611,The Villages at East Lake,O,33.74698,-84.31813
LARCENY-FROM VEHICLE,102990732,10262010,556 PAINES AVE NW,103,English Avenue,L,33.76997,-84.41476
BURGLARY-RESIDENCE,102991406,10262010,1271 CAHABA DR SW,408,Venetian Hills,S,33.72011,-84.44867
AGG ASSAULT,102992041,10262010,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68149,-84.37152
AGG ASSAULT,102982117,10252010,62 HARWELL RD NW,111,,I,33.7538,-84.493
AUTO THEFT,102980003,10252010,1264 BARNES ST NW,501,Home Park,E,33.78932,-84.39477
BURGLARY-RESIDENCE,102980978,10252010,1360 WESTMONT RD SW,403,Venetian Hills,S,33.71818,-84.43741
ROBBERY-PEDESTRIAN,102981568,10252010,3804 MARTIN L KING JR DR NW ,114,Old Gordon,H,33.76759,-84.51254
AUTO THEFT,102971346,10242010,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676
LARCENY-FROM VEHICLE,102971946,10242010,1895 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.80732,-84.36612
LARCENY-FROM VEHICLE,102970882,10242010,180 JACKSON ST NE,604,Sweet Auburn,M,33.75932,-84.37442
LARCENY-FROM VEHICLE,102961289,10232010,165 COURTLAND ST NE,510,Downtown,M,33.75895,-84.3834
AGG ASSAULT,102961899,10232010,798 ELOISE CT SE,605,Grant Park,W,33.7345,-84.36109
LARCENY-NON VEHICLE,102960802,10232010,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76434,-84.45703
LARCENY-FROM VEHICLE,102952715,10222010,50 OLD IVY RD NE,209,North Buckhead,B,33.85469,-84.38105
LARCENY-NON VEHICLE,102950954,10222010,12-J BROAD ST SW,511,Downtown,M,33.7532,-84.39201
LARCENY-NON VEHICLE,102951455,10222010,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532
LARCENY-FROM VEHICLE,102952229,10222010,3183 PEACHTREE RD NE,206,Buckhead Village,B,33.84063,-84.37497
LARCENY-NON VEHICLE,102940782,10212010,105 COLLIER RD. NW,207,,E,33.80821,-84.39686
LARCENY-FROM VEHICLE,102941367,10212010,1811 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.80461,-84.36712
LARCENY-FROM VEHICLE,102942212,10212010,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554
LARCENY-FROM VEHICLE,102931599,10202010,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81274,-84.36659
ROBBERY-PEDESTRIAN,102932423,10202010,1413 LA FRANCE ST NE,609,Edgewood,O,33.76021,-84.34118
LARCENY-NON VEHICLE,102931019,10202010,121 CLEVELAND AVE SE,312,Glenrose Heights,Z,33.68071,-84.3847
LARCENY-FROM VEHICLE,102932618,10202010,218 PEACHTREE ST NW,508,Downtown,M,33.76028,-84.38768
LARCENY-NON VEHICLE,102921031,10192010,1936 HOSEA L WILLIAMS DR NE ; CLEANERS,610,Kirkwood,O,33.75292,-84.32397
AUTO THEFT,102921770,10192010,395 PRYOR ST SW,303,Mechanicsville,V,33.74382,-84.39459
LARCENY-NON VEHICLE,102918030,10182010,8700 SPINE ROAD,50,,,33.64085,-84.43915
AUTO THEFT,102911739,10182010,655 KENNESAW AVE NE,603,Old Fourth Ward,M,33.7724,-84.36972
BURGLARY-RESIDENCE,102911357,10182010,333 TRIUMPH CIR SE,313,Blair Villa/Poole Creek,Z,33.66099,-84.37941
LARCENY-NON VEHICLE,102910725,10182010,1195 WOODLAND AVE NE,213,Lindridge/Martin Manor,F,33.81477,-84.34908
AUTO THEFT,102901697,10172010,500 MCDANIEL ST SW,303,Mechanicsville,V,33.74121,-84.40268
BURGLARY-RESIDENCE,102900685,10172010,944 BEECHER CT SW,404,Cascade Avenue/Road,S,33.73256,-84.44966
LARCENY-FROM VEHICLE,102901796,10172010,3365 PIEDMONT RD NE,208,North Buckhead,B,33.84709,-84.37295
AUTO THEFT,102891787,10162010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
BURGLARY-RESIDENCE,102890485,10162010,353 TAZOR ST NW,106,Bankhead,K,33.76431,-84.42075
