crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103041136,10312010,1306 HILL ST SE,305,Chosewood Park,Y,33.71875,-84.37852
ROBBERY-PEDESTRIAN,103041159,10312010,1168 BENTEEN AVE SE,607,Boulevard Heights,W,33.72273,-84.36697
LARCENY-FROM VEHICLE,103041669,10312010,15 PEACHTREE ST SE,511,Downtown,M,33.75399,-84.38986
AUTO THEFT,103041670,10312010,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405
LARCENY-NON VEHICLE,103032507,10302010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198
AGG ASSAULT,103032617,10302010,3380 COLLIER DR NW,114,Fairburn Heights,H,33.76826,-84.49851
LARCENY-NON VEHICLE,103031871,10302010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,103031922,10302010,3616 BOLFAIR DR NW,114,Carroll Heights,H,33.77721,-84.50587
AUTO THEFT,103030783,10302010,3334 PEACHTREE RD NE,208,North Buckhead,B,33.84624,-84.36844
LARCENY-NON VEHICLE,103030821,10302010,1621 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71233,-84.44122
LARCENY-FROM VEHICLE,103020638,10292010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
LARCENY-FROM VEHICLE,103020723,10292010,222 14TH ST NE,502,Midtown,E,33.78657,-84.38041
BURGLARY-RESIDENCE,103021299,10292010,3041 LANDRUM ,409,Southwest,R,33.70649,-84.48782
BURGLARY-RESIDENCE,103021307,10292010,443 OAK DR SE,312,Orchard Knob,Z,33.66712,-84.37905
ROBBERY-PEDESTRIAN,103021886,10292010,391 17TH ST NW,501,Atlantic Station,E,33.79109,-84.40088
ROBBERY-COMMERCIAL,103021891,10292010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
BURGLARY-RESIDENCE,103010920,10282010,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815
LARCENY-FROM VEHICLE,103010943,10282010,2450 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82269,-84.37114
LARCENY-FROM VEHICLE,103011605,10282010,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
LARCENY-NON VEHICLE,103011608,10282010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
AUTO THEFT,103012371,10282010,2051 DELANO DR NE,610,Kirkwood,O,33.75522,-84.3206
LARCENY-NON VEHICLE,103012395,10282010,990 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.77562,-84.35507
LARCENY-NON VEHICLE,103010656,10282010,1961 MEADOR AVE SE,307,Lakewood Heights,Y,33.70063,-84.38056
LARCENY-FROM VEHICLE,103010678,10282010,1614 PONTIAC PL SE,607,Custer/McDonough/Guice,W,33.71055,-84.35677
LARCENY-NON VEHICLE,103001666,10272010,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212
AUTO THEFT,103001684,10272010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
LARCENY-NON VEHICLE,103008011,10272010,S TERM @6000 S TERMINAL PKWY,50,,,33.63915,-84.44264
AUTO THEFT,103008050,10272010,NATIONAL S DECK @2250 RENTAL CAR CENTER PKWY,707,,,33.63978,-84.46221
LARCENY-FROM VEHICLE,103000671,10272010,656 PARK VILLAGE DR NE,602,Poncey-Highland,N,33.77248,-84.35866
LARCENY-NON VEHICLE,103000683,10272010,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
LARCENY-NON VEHICLE,102990174,10262010,PIEDMONT AVE NE / 10TH ST NE,503,Midtown,E,33.78178,-84.38047
LARCENY-NON VEHICLE,102990297,10262010,2325 MARIETTA BLVD NW,201,,C,33.82065,-84.45274
AGG ASSAULT,102991042,10262010,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996
LARCENY-NON VEHICLE,102991066,10262010,219 SUNSET AVE NW,102,Vine City,L,33.76063,-84.4097
AGG ASSAULT,102991731,10262010,1659 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.44214
LARCENY-FROM VEHICLE,102991741,10262010,1820 MARY DELL DR SE,612,East Atlanta,W,33.72385,-84.32906
LARCENY-NON VEHICLE,102992374,10262010,AUBURN AVE NE / PIEDMONT AVE NE,510,Downtown,M,33.75555,-84.38225
LARCENY-FROM VEHICLE,102992376,10262010,JESSE HILL JR DR/IRWIN ST,511,Downtown,M,33.74876,-84.38606
LARCENY-NON VEHICLE,102981900,10252010,1371 MARKET ST NW,501,Atlantic Station,E,33.7921,-84.39466
LARCENY-FROM VEHICLE,102981904,10252010,3368 PEACHTREE RD NE,208,North Buckhead,B,33.84713,-84.36802
LARCENY-FROM VEHICLE,102980590,10252010,307 LYDIA DR,310,Browns Mill Park,Z,33.68626,-84.37937
AUTO THEFT,102980599,10252010,2891 SPRINGDALE RD SW,311,Hammond Park,X,33.67628,-84.41592
LARCENY-NON VEHICLE,102981170,10252010,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424
BURGLARY-RESIDENCE,102981178,10252010,1107 4TH ST NW,109,Carey Park,G,33.78523,-84.47029
LARCENY-FROM VEHICLE,102970044,10242010,765 NORTH AVE NE,602,Poncey-Highland,N,33.77113,-84.36229
BURGLARY-RESIDENCE,102970068,10242010,2254 ABNER PL NW,110,Carver Hills,G,33.80201,-84.46134
AUTO THEFT,102971556,10242010,523 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72224,-84.40469
AGG ASSAULT,102971558,10242010,337 GREENHAVEN DRIVE SE,611,The Villages at East Lake,O,33.74133,-84.31309
AGG ASSAULT,102970569,10242010,585 MCWILLIAMS RD,310,Browns Mill Park,Z,33.68869,-84.36881
LARCENY-FROM VEHICLE,102970582,10242010,2176 COUNTY LINE RD SW,413,Elmco Estates,P,33.69526,-84.53435
LARCENY-FROM VEHICLE,102960981,10232010,370 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70676,-84.37678
LARCENY-NON VEHICLE,102960988,10232010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75231,-84.38231
BURGLARY-RESIDENCE,102961440,10232010,878 TIFT AVE SW,301,Adair Park,V,33.73106,-84.41023
