crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103040970,10312010,1116 LINDRIDGE DR NE,212,Lindridge/Martin Manor,F,33.8199,-84.35326
LARCENY-NON VEHICLE,103041549,10312010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
AGG ASSAULT,103042163,10312010,1048 FERN AVE SE,304,Peoplestown,V,33.72592,-84.38498
LARCENY-NON VEHICLE,103031659,10302010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
AUTO THEFT,103030616,10302010,3815 MARTIN L KING JR DR NW,114,Old Gordon,H,33.76918,-84.51471
LARCENY-FROM VEHICLE,103020131,10292010,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433
LARCENY-NON VEHICLE,103021229,10292010,3129 PIEDMONT RD NE,211,Peachtree Park,B,33.84234,-84.37014
BURGLARY-RESIDENCE,103021741,10292010,917 OAKHILL AVE SW,301,Adair Park,V,33.72988,-84.40947
LARCENY-NON VEHICLE,103022614,10292010,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594
LARCENY-NON VEHICLE,103011385,10282010,1787 CAHOON ST SW,306,Sylvan Hills,X,33.70677,-84.41112
LARCENY-FROM VEHICLE,103012217,10282010,W PEACHTREE ST NE / 14TH ST NE,502,Midtown,E,33.78667,-84.38781
BURGLARY-NONRES,103010461,10282010,2650 LOIS LN SE,310,Browns Mill Park,Z,33.68246,-84.38735
LARCENY-FROM VEHICLE,103001480,10272010,250 ARIZONA AVE NE,609,Edgewood,O,33.76095,-84.33124
LARCENY-FROM VEHICLE,103002337,10272010,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389
AUTO THEFT,103000585,10272010,1298 NORTH AVE NW,106,Bankhead,K,33.76778,-84.43034
LARCENY-FROM VEHICLE,103001139,10272010,815 VIRGINIA CIRLCE ,601,Virginia Highland,F,33.78068,-84.36063
AGG ASSAULT,102990815,10262010,214 THORNTON ST SW,307,Joyland,Y,33.71155,-84.39594
BURGLARY-RESIDENCE,102991559,10262010,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662
LARCENY-NON VEHICLE,102992129,10262010,411 CLEVELAND AVE SW,309,Perkerson,X,33.68145,-84.40305
LARCENY-FROM VEHICLE,102981718,10252010,CRESCENT AVE NE / 12TH ST NE,503,Midtown,E,33.78455,-84.38434
AGG ASSAULT,102980268,10252010,226 TAFT ST SW,307,Joyland,Y,33.71031,-84.39637
BURGLARY-RESIDENCE,102981085,10252010,3510 THOMPSON DR NW,111,Adamsville,H,33.76183,-84.50273
BURGLARY-RESIDENCE,102972052,10242010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.70177,-84.48448
